               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.021431,            0.034184,             0.01326,             0.77458,             0.61724,             0.64253,             0.49193,            0.017524,            0.026245,            0.013988,            0.006436,            0.006436,            0.006436
                  38,            0.021435,            0.034488,            0.013082,             0.78408,             0.62715,             0.65959,             0.50574,            0.017521,            0.026125,            0.013504,            0.006337,            0.006337,            0.006337
                  39,             0.02107,            0.033302,            0.012918,             0.78944,             0.62568,             0.64746,             0.49436,            0.017601,            0.026409,            0.013795,            0.006238,            0.006238,            0.006238
                  40,            0.021214,            0.033491,            0.012474,             0.80809,             0.62214,             0.66722,             0.51163,            0.017367,            0.025935,            0.013055,            0.006139,            0.006139,            0.006139
                  41,            0.021194,            0.033916,            0.012602,             0.80191,             0.58363,             0.64153,             0.48833,            0.017576,            0.026787,            0.014145,             0.00604,             0.00604,             0.00604
                  42,            0.021237,            0.033808,            0.012276,             0.80819,             0.63045,             0.67235,             0.51853,            0.017211,            0.026212,            0.013104,            0.005941,            0.005941,            0.005941
                  43,            0.021006,            0.033701,            0.012258,              0.8485,             0.60975,             0.68911,             0.53006,            0.017352,            0.026077,            0.013258,            0.005842,            0.005842,            0.005842
                  44,            0.020734,            0.033265,            0.011493,             0.82801,             0.62455,             0.68795,             0.53492,             0.01706,            0.025748,            0.012876,            0.005743,            0.005743,            0.005743
                  45,            0.020528,            0.032897,             0.01132,             0.83888,             0.63591,             0.70252,              0.5409,            0.017134,             0.02581,            0.012794,            0.005644,            0.005644,            0.005644
                  46,            0.020596,            0.033386,            0.011363,             0.80686,             0.65385,             0.69236,              0.5313,            0.017149,            0.025535,            0.012659,            0.005545,            0.005545,            0.005545
                  47,              0.0203,            0.032978,            0.011156,             0.81708,             0.67197,             0.71308,              0.5495,            0.016986,            0.025644,            0.012958,            0.005446,            0.005446,            0.005446
                  48,            0.020482,             0.03273,            0.011019,             0.73929,             0.72246,             0.72784,             0.56407,            0.016983,            0.025575,            0.012804,            0.005347,            0.005347,            0.005347
                  49,            0.020633,            0.032979,            0.010707,             0.82109,             0.70702,             0.73286,             0.56285,            0.016946,            0.025643,            0.012751,            0.005248,            0.005248,            0.005248
                  50,            0.020371,            0.032627,            0.010473,             0.74075,             0.71121,             0.72909,             0.56336,            0.016966,            0.025532,            0.012602,            0.005149,            0.005149,            0.005149
                  51,            0.020095,            0.032634,            0.010343,             0.75512,             0.72129,             0.73788,             0.57531,            0.017058,            0.025518,            0.012754,             0.00505,             0.00505,             0.00505
                  52,            0.020176,             0.03275,            0.009978,              0.8375,             0.68534,             0.74667,               0.576,            0.017072,            0.025892,            0.012101,            0.004951,            0.004951,            0.004951
                  53,            0.020048,            0.032348,            0.010007,             0.72979,             0.72183,             0.73782,             0.56968,            0.016838,             0.02553,            0.012762,            0.004852,            0.004852,            0.004852
                  54,            0.020121,            0.032203,            0.010045,             0.74714,              0.7355,             0.74688,             0.57494,            0.016845,             0.02558,            0.012269,            0.004753,            0.004753,            0.004753
                  55,            0.019974,            0.032412,           0.0095726,              0.7726,             0.72528,             0.75594,             0.59253,              0.0168,            0.025325,            0.012396,            0.004654,            0.004654,            0.004654
                  56,            0.019704,            0.032086,            0.009308,             0.82485,             0.71848,             0.76113,              0.5933,            0.016929,             0.02563,            0.012092,            0.004555,            0.004555,            0.004555
                  57,            0.019631,            0.031712,           0.0091015,             0.77238,             0.73892,             0.76131,             0.59035,            0.016896,            0.025478,            0.012642,            0.004456,            0.004456,            0.004456
                  58,            0.019757,            0.031613,           0.0090226,             0.77851,             0.72864,             0.75936,             0.59129,             0.01678,             0.02541,            0.012204,            0.004357,            0.004357,            0.004357
                  59,             0.01958,            0.031864,           0.0088309,             0.81731,             0.73412,             0.77515,             0.60336,            0.016825,            0.025366,            0.012237,            0.004258,            0.004258,            0.004258
                  60,            0.019479,            0.031481,           0.0088197,             0.77972,             0.73628,             0.77078,             0.60297,            0.016789,            0.025363,            0.012485,            0.004159,            0.004159,            0.004159
                  61,            0.019565,            0.031754,            0.008434,             0.78462,              0.7284,             0.76184,             0.59601,            0.016704,            0.025302,            0.012525,             0.00406,             0.00406,             0.00406
                  62,            0.019373,            0.031554,           0.0081417,             0.83415,             0.72336,              0.7725,             0.59906,            0.016702,            0.025272,            0.012143,            0.003961,            0.003961,            0.003961
                  63,            0.019098,            0.031558,           0.0081086,             0.78655,              0.7408,             0.78022,             0.60654,            0.016721,            0.025046,            0.012432,            0.003862,            0.003862,            0.003862
                  64,            0.019256,            0.031322,           0.0080977,             0.77914,             0.75155,             0.76985,             0.59689,            0.016676,            0.025141,            0.012112,            0.003763,            0.003763,            0.003763
                  65,            0.019336,            0.031909,           0.0078553,             0.80289,             0.73658,             0.77607,             0.60415,            0.016712,            0.025433,            0.012499,            0.003664,            0.003664,            0.003664
                  66,            0.018875,            0.030926,           0.0075997,             0.79721,              0.7516,             0.77544,             0.60733,            0.016661,            0.025213,            0.012547,            0.003565,            0.003565,            0.003565
                  67,            0.019079,             0.03136,           0.0077605,             0.78406,             0.73309,               0.767,             0.59287,            0.016615,            0.025522,            0.012635,            0.003466,            0.003466,            0.003466
                  68,            0.018947,            0.030778,           0.0074427,             0.82686,             0.77096,             0.79078,             0.61383,            0.016601,            0.025215,            0.011734,            0.003367,            0.003367,            0.003367
                  69,            0.018937,            0.030822,           0.0073329,             0.81104,             0.76708,             0.79319,             0.61312,            0.016786,            0.025222,            0.012249,            0.003268,            0.003268,            0.003268
                  70,            0.018671,            0.030882,           0.0067937,             0.80131,             0.76218,             0.78486,             0.60504,            0.016697,             0.02536,            0.012429,            0.003169,            0.003169,            0.003169
                  71,             0.01885,            0.031308,           0.0069283,             0.82211,             0.73363,             0.79459,             0.61595,            0.016678,            0.025192,            0.012081,             0.00307,             0.00307,             0.00307
                  72,            0.018611,            0.031042,           0.0067579,             0.77324,             0.76637,             0.77937,             0.60425,            0.016621,            0.025304,            0.012356,            0.002971,            0.002971,            0.002971
                  73,            0.018548,            0.030969,            0.006703,             0.83345,             0.76272,             0.78895,             0.61873,            0.016526,            0.025183,            0.012789,            0.002872,            0.002872,            0.002872
                  74,            0.018438,            0.030465,           0.0064662,             0.82192,              0.7686,             0.79996,             0.62435,            0.016524,            0.025343,             0.01259,            0.002773,            0.002773,            0.002773
